    ,0
0   ,Toy Story (1995) Animation Children's Comedy
1   ,GoldenEye (1995) Action Adventure Thriller
2   ,Four Rooms (1995) Thriller
3   ,Get Shorty (1995) Action Comedy Drama
4   ,Copycat (1995) Crime Drama Thriller
5   ,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Drama
6   ,Twelve Monkeys (1995) Drama Sci-Fi
7   ,Babe (1995) Children's Comedy Drama
8   ,Dead Man Walking (1995) Drama
9   ,Richard III (1995) Drama War
10  ,Seven (Se7en) (1995) Crime Thriller
11  ,Usual Suspects                                                                        ,The (1995) Crime Thriller
12  ,Mighty Aphrodite (1995) Comedy
13  ,Postino                                                                               ,Il (1994) Drama Romance
14  ,Mr. Holland's Opus (1995) Drama
15  ,French Twist (Gazon maudit) (1995) Comedy Romance
16  ,From Dusk Till Dawn (1996) Action Comedy Crime Horror Thriller
17  ,White Balloon                                                                         ,The (1995) Drama
18  ,Antonia's Line (1995) Drama
19  ,Angels and Insects (1995) Drama Romance
20  ,Muppet Treasure Island (1996) Action Adventure Comedy Musical Thriller
21  ,Braveheart (1995) Action Drama War
22  ,Taxi Driver (1976) Drama Thriller
23  ,Rumble in the Bronx (1995) Action Adventure Crime
24  ,Birdcage                                                                              ,The (1996) Comedy
25  ,Brothers McMullen                                                                     ,The (1995) Comedy
26  ,Bad Boys (1995) Action
27  ,Apollo 13 (1995) Action Drama Thriller
28  ,Batman Forever (1995) Action Adventure Comedy Crime
29  ,Belle de jour (1967) Drama
30  ,Crimson Tide (1995) Drama Thriller War
31  ,Crumb (1994) Documentary
32  ,Desperado (1995) Action Romance Thriller
33  ,Doom Generation                                                                       ,The (1995) Comedy Drama
34  ,Free Willy 2: The Adventure Home (1995) Adventure Children's Drama
35  ,Mad Love (1995) Drama Romance
36  ,Nadja (1994) Drama
37  ,Net                                                                                   ,The (1995) Sci-Fi Thriller
38  ,Strange Days (1995) Action Crime Sci-Fi
39  ,To Wong Foo                                                                           ,Thanks for Everything! Julie Newmar (1995) Comedy
40  ,Billy Madison (1995) Comedy
41  ,Clerks (1994) Comedy
42  ,Disclosure (1994) Drama Thriller
43  ,Dolores Claiborne (1994) Drama Thriller
44  ,Eat Drink Man Woman (1994) Comedy Drama
45  ,Exotica (1994) Drama
46  ,Ed Wood (1994) Comedy Drama
47  ,Hoop Dreams (1994) Documentary
48  ,I.Q. (1994) Comedy Romance
49  ,Star Wars (1977) Action Adventure Romance Sci-Fi War
50  ,Legends of the Fall (1994) Drama Romance War Western
51  ,Madness of King George                                                                ,The (1994) Drama
52  ,Natural Born Killers (1994) Action Thriller
53  ,Outbreak (1995) Action Drama Thriller
54  ,Professional                                                                          ,The (1994) Crime Drama Romance Thriller
55  ,Pulp Fiction (1994) Crime Drama
56  ,Priest (1994) Drama
57  ,Quiz Show (1994) Drama
58  ,Three Colors: Red (1994) Drama
59  ,Three Colors: Blue (1993) Drama
60  ,Three Colors: White (1994) Drama
61  ,Stargate (1994) Action Adventure Sci-Fi
62  ,Santa Clause                                                                          ,The (1994) Children's Comedy
63  ,Shawshank Redemption                                                                  ,The (1994) Drama
64  ,What's Eating Gilbert Grape (1993) Comedy Drama
65  ,While You Were Sleeping (1995) Comedy Romance
66  ,Ace Ventura: Pet Detective (1994) Comedy
67  ,Crow                                                                                  ,The (1994) Action Romance Thriller
68  ,Forrest Gump (1994) Comedy Romance War
69  ,Four Weddings and a Funeral (1994) Comedy Romance
70  ,Lion King                                                                             ,The (1994) Animation Children's Musical
71  ,Mask                                                                                  ,The (1994) Comedy Crime Fantasy
72  ,Maverick (1994) Action Comedy Western
73  ,Faster Pussycat! Kill! Kill! (1965) Action Comedy Drama
74  ,Brother Minister: The Assassination of Malcolm X (1994) Documentary
75  ,Carlito's Way (1993) Crime Drama
76  ,Firm                                                                                  ,The (1993) Drama Thriller
77  ,Free Willy (1993) Adventure Children's Drama
78  ,Fugitive                                                                              ,The (1993) Action Thriller
79  ,Hot Shots! Part Deux (1993) Action Comedy War
80  ,Hudsucker Proxy                                                                       ,The (1994) Comedy Romance
81  ,Jurassic Park (1993) Action Adventure Sci-Fi
82  ,Much Ado About Nothing (1993) Comedy Romance
83  ,Robert A. Heinlein's The Puppet Masters (1994) Horror Sci-Fi
84  ,Ref                                                                                   ,The (1994) Comedy
85  ,Remains of the Day                                                                    ,The (1993) Drama
86  ,Searching for Bobby Fischer (1993) Drama
87  ,Sleepless in Seattle (1993) Comedy Romance
88  ,Blade Runner (1982) Film-Noir Sci-Fi
89  ,So I Married an Axe Murderer (1993) Comedy Romance Thriller
90  ,Nightmare Before Christmas                                                            ,The (1993) Children's Comedy Musical
91  ,True Romance (1993) Action Crime Romance
92  ,Welcome to the Dollhouse (1995) Comedy Drama
93  ,Home Alone (1990) Children's Comedy
94  ,Aladdin (1992) Animation Children's Comedy Musical
95  ,Terminator 2: Judgment Day (1991) Action Sci-Fi Thriller
96  ,Dances with Wolves (1990) Adventure Drama Western
97  ,Silence of the Lambs                                                                  ,The (1991) Drama Thriller
98  ,Snow White and the Seven Dwarfs (1937) Animation Children's Musical
99  ,Fargo (1996) Crime Drama Thriller
100 ,Heavy Metal (1981) Action Adventure Animation Horror Sci-Fi
101 ,Aristocats                                                                            ,The (1970) Animation Children's
102 ,All Dogs Go to Heaven 2 (1996) Animation Children's Musical
103 ,Theodore Rex (1995) Comedy
104 ,Sgt. Bilko (1996) Comedy
105 ,Diabolique (1996) Drama Thriller
106 ,Moll Flanders (1996) Drama
107 ,Kids in the Hall: Brain Candy (1996) Comedy
108 ,Mystery Science Theater 3000: The Movie (1996) Comedy Sci-Fi
109 ,Operation Dumbo Drop (1995) Action Adventure Comedy War
110 ,Truth About Cats & Dogs                                                               ,The (1996) Comedy Romance
111 ,Flipper (1996) Adventure Children's
112 ,Horseman on the Roof                                                                  ,The (Hussard sur le toit                                            ,Le) (1995) Drama
113 ,Wallace & Gromit: The Best of Aardman Animation (1996) Animation
114 ,Haunted World of Edward D. Wood Jr.                                                   ,The (1995) Documentary
115 ,Cold Comfort Farm (1995) Comedy
116 ,Rock                                                                                  ,The (1996) Action Adventure Thriller
117 ,Twister (1996) Action Adventure Thriller
118 ,Maya Lin: A Strong Clear Vision (1994) Documentary
119 ,Striptease (1996) Comedy Crime
120 ,Independence Day (ID4) (1996) Action Sci-Fi War
121 ,Cable Guy                                                                             ,The (1996) Comedy
122 ,Frighteners                                                                           ,The (1996) Comedy Horror
123 ,Lone Star (1996) Drama Mystery
124 ,Phenomenon (1996) Drama Romance
125 ,Spitfire Grill                                                                        ,The (1996) Drama
126 ,Godfather                                                                             ,The (1972) Action Crime Drama
127 ,Supercop (1992) Action Thriller
128 ,Bound (1996) Crime Drama Romance Thriller
129 ,Kansas City (1996) Crime
130 ,Breakfast at Tiffany's (1961) Drama Romance
131 ,Wizard of Oz                                                                          ,The (1939) Adventure Children's Drama Musical
132 ,Gone with the Wind (1939) Drama Romance War
133 ,Citizen Kane (1941) Drama
134 ,2001: A Space Odyssey (1968) Drama Mystery Sci-Fi Thriller
135 ,Mr. Smith Goes to Washington (1939) Drama
136 ,Big Night (1996) Drama
137 ,D3: The Mighty Ducks (1996) Children's Comedy
138 ,Love Bug                                                                              ,The (1969) Children's Comedy
139 ,Homeward Bound: The Incredible Journey (1993) Adventure Children's
140 ,20                                                                                    ,000 Leagues Under the Sea (1954) Adventure Children's Fantasy Sci-Fi
141 ,Bedknobs and Broomsticks (1971) Adventure Children's Musical
142 ,Sound of Music                                                                        ,The (1965) Musical
143 ,Die Hard (1988) Action Thriller
144 ,Lawnmower Man                                                                         ,The (1992) Action Sci-Fi Thriller
145 ,Unhook the Stars (1996) Drama
146 ,Long Kiss Goodnight                                                                   ,The (1996) Action Thriller
147 ,Ghost and the Darkness                                                                ,The (1996) Action Adventure
148 ,Jude (1996) Drama
149 ,Swingers (1996) Comedy Drama
150 ,Willy Wonka and the Chocolate Factory (1971) Adventure Children's Comedy
151 ,Sleeper (1973) Comedy Sci-Fi
152 ,Fish Called Wanda                                                                     ,A (1988) Comedy
153 ,Monty Python's Life of Brian (1979) Comedy
154 ,Dirty Dancing (1987) Musical Romance
155 ,Reservoir Dogs (1992) Crime Thriller
156 ,Platoon (1986) Drama War
157 ,Weekend at Bernie's (1989) Comedy
158 ,Basic Instinct (1992) Mystery Thriller
159 ,Glengarry Glen Ross (1992) Drama
160 ,Top Gun (1986) Action Romance
161 ,On Golden Pond (1981) Drama
162 ,Return of the Pink Panther                                                            ,The (1974) Comedy
163 ,Abyss                                                                                 ,The (1989) Action Adventure Sci-Fi Thriller
164 ,Jean de Florette (1986) Drama
165 ,Manon of the Spring (Manon des sources) (1986) Drama
166 ,Private Benjamin (1980) Comedy
167 ,Monty Python and the Holy Grail (1974) Comedy
168 ,Wrong Trousers                                                                        ,The (1993) Animation Comedy
169 ,Cinema Paradiso (1988) Comedy Drama Romance
170 ,Delicatessen (1991) Comedy Sci-Fi
171 ,Empire Strikes Back                                                                   ,The (1980) Action Adventure Drama Romance Sci-Fi War
172 ,Princess Bride                                                                        ,The (1987) Action Adventure Comedy Romance
173 ,Raiders of the Lost Ark (1981) Action Adventure
174 ,Brazil (1985) Sci-Fi
175 ,Aliens (1986) Action Sci-Fi Thriller War
176 ,Good                                                                                  ,The Bad and The Ugly                                                ,The (1966) Action Western
177 ,12 Angry Men (1957) Drama
178 ,Clockwork Orange                                                                      ,A (1971) Sci-Fi
179 ,Apocalypse Now (1979) Drama War
180 ,Return of the Jedi (1983) Action Adventure Romance Sci-Fi War
181 ,GoodFellas (1990) Crime Drama
182 ,Alien (1979) Action Horror Sci-Fi Thriller
183 ,Army of Darkness (1993) Action Adventure Comedy Horror Sci-Fi
184 ,Psycho (1960) Horror Romance Thriller
185 ,Blues Brothers                                                                        ,The (1980) Action Comedy Musical
186 ,Godfather: Part II                                                                    ,The (1974) Action Crime Drama
187 ,Full Metal Jacket (1987) Action Drama War
188 ,Grand Day Out                                                                         ,A (1992) Animation Comedy
189 ,Henry V (1989) Drama War
190 ,Amadeus (1984) Drama Mystery
191 ,Raging Bull (1980) Drama
192 ,Right Stuff                                                                           ,The (1983) Drama
193 ,Sting                                                                                 ,The (1973) Comedy Crime
194 ,Terminator                                                                            ,The (1984) Action Sci-Fi Thriller
195 ,Dead Poets Society (1989) Drama
196 ,Graduate                                                                              ,The (1967) Drama Romance
197 ,Nikita (La Femme Nikita) (1990) Thriller
198 ,Bridge on the River Kwai                                                              ,The (1957) Drama War
199 ,Shining                                                                               ,The (1980) Horror
200 ,Evil Dead II (1987) Action Adventure Comedy Horror
201 ,Groundhog Day (1993) Comedy Romance
202 ,Unforgiven (1992) Western
203 ,Back to the Future (1985) Comedy Sci-Fi
204 ,Patton (1970) Drama War
205 ,Akira (1988) Adventure Animation Sci-Fi Thriller
206 ,Cyrano de Bergerac (1990) Action Drama Romance
207 ,Young Frankenstein (1974) Comedy Horror
208 ,This Is Spinal Tap (1984) Comedy Drama Musical
209 ,Indiana Jones and the Last Crusade (1989) Action Adventure
210 ,M*A*S*H (1970) Comedy War
211 ,Unbearable Lightness of Being                                                         ,The (1988) Drama
212 ,Room with a View                                                                      ,A (1986) Drama Romance
213 ,Pink Floyd - The Wall (1982) Drama Musical War
214 ,Field of Dreams (1989) Drama
215 ,When Harry Met Sally... (1989) Comedy Romance
216 ,Bram Stoker's Dracula (1992) Horror Romance
217 ,Cape Fear (1991) Thriller
218 ,Nightmare on Elm Street                                                               ,A (1984) Horror
219 ,Mirror Has Two Faces                                                                  ,The (1996) Comedy Romance
