    ,0
0   ,Animation Children's Comedy
1   ,Action Adventure Thriller
2   ,Thriller
3   ,Action Comedy Drama
4   ,Crime Drama Thriller
5   ,Drama
6   ,Drama Sci-Fi
7   ,Children's Comedy Drama
8   ,Drama
9   ,Drama War
10  ,Crime Thriller
11  ,Crime Thriller
12  ,Comedy
13  ,Drama Romance
14  ,Drama
15  ,Comedy Romance
16  ,Action Comedy Crime Horror Thriller
17  ,Drama
18  ,Drama
19  ,Drama Romance
20  ,Action Adventure Comedy Musical Thriller
21  ,Action Drama War
22  ,Drama Thriller
23  ,Action Adventure Crime
24  ,Comedy
25  ,Comedy
26  ,Action
27  ,Action Drama Thriller
28  ,Action Adventure Comedy Crime
29  ,Drama
30  ,Drama Thriller War
31  ,Documentary
32  ,Action Romance Thriller
33  ,Comedy Drama
34  ,Adventure Children's Drama
35  ,Drama Romance
36  ,Drama
37  ,Sci-Fi Thriller
38  ,Action Crime Sci-Fi
39  ,Comedy
40  ,Comedy
41  ,Comedy
42  ,Drama Thriller
43  ,Drama Thriller
44  ,Comedy Drama
45  ,Drama
46  ,Comedy Drama
47  ,Documentary
48  ,Comedy Romance
49  ,Action Adventure Romance Sci-Fi War
50  ,Drama Romance War Western
51  ,Drama
52  ,Action Thriller
53  ,Action Drama Thriller
54  ,Crime Drama Romance Thriller
55  ,Crime Drama
56  ,Drama
57  ,Drama
58  ,Drama
59  ,Drama
60  ,Drama
61  ,Action Adventure Sci-Fi
62  ,Children's Comedy
63  ,Drama
64  ,Comedy Drama
65  ,Comedy Romance
66  ,Comedy
67  ,Action Romance Thriller
68  ,Comedy Romance War
69  ,Comedy Romance
70  ,Animation Children's Musical
71  ,Comedy Crime Fantasy
72  ,Action Comedy Western
73  ,Action Comedy Drama
74  ,Documentary
75  ,Crime Drama
76  ,Drama Thriller
77  ,Adventure Children's Drama
78  ,Action Thriller
79  ,Action Comedy War
80  ,Comedy Romance
81  ,Action Adventure Sci-Fi
82  ,Comedy Romance
