,0
0, Animation Children's Comedy 1995
1, Action Adventure Thriller 1995
2, Thriller 1995
3, Action Comedy Drama 1995
4, Crime Drama Thriller 1995
5, Drama 1995
6, Drama Sci-Fi 1995
7, Children's Comedy Drama 1995
8, Drama 1995
9, Drama War 1995
10, Crime Thriller 1995
11, Crime Thriller 1995
12, Comedy 1995
13, Drama Romance 1994
14, Drama 1995
15, Comedy Romance 1995
16, Action Comedy Crime Horror Thriller 1996
17, Drama 1995
18, Drama 1995
19, Drama Romance 1995
20, Action Adventure Comedy Musical Thriller 1996
21, Action Drama War 1995
22, Drama Thriller 1976
23, Action Adventure Crime 1995
24, Comedy 1996
25, Comedy 1995
26, Action 1995
27, Action Drama Thriller 1995
28, Action Adventure Comedy Crime 1995
29, Drama 1967
30, Drama Thriller War 1995
31, Documentary 1994
32, Action Romance Thriller 1995
33, Comedy Drama 1995
34, Adventure Children's Drama 1995
35, Drama Romance 1995
36, Drama 1994
37, Sci-Fi Thriller 1995
38, Action Crime Sci-Fi 1995
39, Comedy 1995
40, Comedy 1995
41, Comedy 1994
42, Drama Thriller 1994
43, Drama Thriller 1994
44, Comedy Drama 1994
45, Drama 1994
46, Comedy Drama 1994
47, Documentary 1994
48, Comedy Romance 1994
49, Action Adventure Romance Sci-Fi War 1977
50, Drama Romance War Western 1994
51, Drama 1994
52, Action Thriller 1994
53, Action Drama Thriller 1995
54, Crime Drama Romance Thriller 1994
55, Crime Drama 1994
56, Drama 1994
57, Drama 1994
58, Drama 1994
59, Drama 1993
60, Drama 1994
61, Action Adventure Sci-Fi 1994
62, Children's Comedy 1994
63, Drama 1994
64, Comedy Drama 1993
65, Comedy Romance 1995
66, Comedy 1994
67, Action Romance Thriller 1994
68, Comedy Romance War 1994
69, Comedy Romance 1994
70, Animation Children's Musical 1994
71, Comedy Crime Fantasy 1994
72, Action Comedy Western 1994
73, Action Comedy Drama 1965
74, Documentary 1994
75, Crime Drama 1993
76, Drama Thriller 1993
77, Adventure Children's Drama 1993
78, Action Thriller 1993
79, Action Comedy War 1993
80, Comedy Romance 1994
81, Action Adventure Sci-Fi 1993
82, Comedy Romance 1993
83, Horror Sci-Fi 1994
84, Comedy 1994
85, Drama 1993
86, Drama 1993
87, Comedy Romance 1993
88, Film-Noir Sci-Fi 1982
89, Comedy Romance Thriller 1993
90, Children's Comedy Musical 1993
91, Action Crime Romance 1993
92, Comedy Drama 1995
93, Children's Comedy 1990
94, Animation Children's Comedy Musical 1992
95, Action Sci-Fi Thriller 1991
96, Adventure Drama Western 1990
97, Drama Thriller 1991
98, Animation Children's Musical 1937
99, Crime Drama Thriller 1996
100, Action Adventure Animation Horror Sci-Fi 1981
101, Animation Children's 1970
102, Animation Children's Musical 1996
103, Comedy 1995
104, Comedy 1996
105, Drama Thriller 1996
106, Drama 1996
107, Comedy 1996
108, Comedy Sci-Fi 1996
109, Action Adventure Comedy War 1995
110, Comedy Romance 1996
111, Adventure Children's 1996
112, Drama 1995
113, Animation 1996
114, Documentary 1995
115, Comedy 1995
116, Action Adventure Thriller 1996
117, Action Adventure Thriller 1996
118, Documentary 1994
119, Comedy Crime 1996
120, Action Sci-Fi War 1996
121, Comedy 1996
122, Comedy Horror 1996
123, Drama Mystery 1996
124, Drama Romance 1996
125, Drama 1996
126, Action Crime Drama 1972
127, Action Thriller 1992
128, Crime Drama Romance Thriller 1996
129, Crime 1996
130, Drama Romance 1961
131, Adventure Children's Drama Musical 1939
132, Drama Romance War 1939
133, Drama 1941
134, Drama Mystery Sci-Fi Thriller 1968
135, Drama 1939
136, Drama 1996
137, Children's Comedy 1996
138, Children's Comedy 1969
139, Adventure Children's 1993
140, Adventure Children's Fantasy Sci-Fi 1954
141, Adventure Children's Musical 1971
142, Musical 1965
143, Action Thriller 1988
