,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
7,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
11,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
16,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
17,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
18,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
19,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
20,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
21,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
22,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
23,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
24,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
25,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
26,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
27,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
28,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
29,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
30,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
31,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
32,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
33,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
34,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
36,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
37,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
38,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
39,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
40,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
41,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
42,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
43,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
44,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
45,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
46,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
47,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
48,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
49,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
50,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
51,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
52,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
53,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
