,0
0,1995
1,1995
2,1995
3,1995
4,1995
5,1995
6,1995
7,1995
8,1995
9,1995
10,1995
11,1995
12,1995
13,1994
14,1995
15,1995
16,1996
17,1995
18,1995
19,1995
20,1996
21,1995
22,1976
23,1995
24,1996
25,1995
26,1995
27,1995
28,1995
29,1967
30,1995
31,1994
32,1995
33,1995
34,1995
35,1995
36,1994
37,1995
38,1995
39,1995
40,1995
41,1994
42,1994
43,1994
44,1994
45,1994
46,1994
47,1994
48,1994
49,1977
50,1994
51,1994
52,1994
53,1995
54,1994
55,1994
56,1994
57,1994
58,1994
59,1993
60,1994
61,1994
62,1994
63,1994
64,1993
65,1995
66,1994
67,1994
68,1994
69,1994
70,1994
71,1994
72,1994
73,1965
74,1994
75,1993
76,1993
77,1993
78,1993
79,1993
80,1994
81,1993
82,1993
83,1994
84,1994
85,1993
86,1993
87,1993
88,1982
89,1993
90,1993
91,1993
92,1995
93,1990
94,1992
95,1991
96,1990
97,1991
98,1937
99,1996
100,1981
101,1970
102,1996
103,1995
104,1996
105,1996
106,1996
107,1996
108,1996
109,1995
110,1996
111,1996
112,1995
113,1996
114,1995
115,1995
116,1996
117,1996
118,1994
119,1996
120,1996
121,1996
122,1996
123,1996
124,1996
125,1996
126,1972
127,1992
128,1996
129,1996
130,1961
131,1939
132,1939
133,1941
134,1968
135,1939
136,1996
137,1996
138,1969
139,1993
140,1954
141,1971
142,1965
143,1988
144,1992
145,1996
146,1996
147,1996
148,1996
149,1996
150,1971
151,1973
152,1988
153,1979
154,1987
155,1992
156,1986
157,1989
158,1992
159,1992
160,1986
161,1981
162,1974
163,1989
164,1986
165,1986
166,1980
167,1974
168,1993
169,1988
170,1991
171,1980
172,1987
173,1981
174,1985
175,1986
176,1966
177,1957
178,1971
179,1979
180,1983
181,1990
182,1979
183,1993
184,1960
185,1980
186,1974
187,1987
188,1992
189,1989
190,1984
191,1980
192,1983
193,1973
194,1984
195,1989
196,1967
197,1990
198,1957
199,1980
200,1987
201,1993
202,1992
203,1985
204,1970
205,1988
206,1990
207,1974
208,1984
209,1989
210,1970
211,1988
212,1986
213,1982
214,1989
215,1989
216,1992
217,1991
218,1984
219,1996
220,1996
221,1996
222,1996
223,1996
224,1996
225,1990
226,1991
227,1982
228,1984
229,1986
230,1992
231,1988
232,1992
233,1975
234,1996
235,1996
236,1996
237,1987
238,1992
239,1996
240,1992
241,1996
242,1997
243,1997
244,1997
245,1997
246,1997
247,1997
248,1997
249,1997
250,1996
251,1997
252,1995
253,1997
254,1997
255,1996
256,1997
257,1997
258,1997
259,1997
260,1997
261,1997
262,1997
263,1997
264,1990
265,1997
266,unknown
267,1997
268,1997
269,1997
270,1997
271,1997
272,1995
273,1995
274,1995
275,1995
276,1995
277,1996
278,1995
279,1996
280,1994
281,1996
282,1996
283,1996
284,1996
285,1996
286,1996
287,1996
288,1996
289,1997
290,1997
291,1997
292,1997
293,1997
294,1997
295,1996
296,1997
297,1997
298,1997
299,1997
300,1997
301,1997
302,1997
303,1996
304,1997
305,1997
306,1997
307,1997
308,1997
309,1997
310,1997
311,1997
312,1997
313,1998
314,1998
315,1997
316,1993
317,1993
318,1996
319,1996
320,1996
321,1997
322,1997
323,1997
324,1996
325,1997
326,1997
327,1997
328,1998
329,1997
330,1997
